Name|Index|Order|p2_Variant|Set_(Layered)_Id|P3_Type|P4_Equip_slot|Defense|Model_Id_1|Model_Id_2|Icon_Color|Icon_Effect|Rarity|Cost|Fire_Res|Water_Res|Ice_Res|Thunder_Res|Dragon_Res|Slot_Count|Slot_1_Size|Slot_2_Size|Slot_3_Size|Set_Skill_1|Set_Skill_1_Level|Hidden_Skill|Hidden_Skill_Level|Skill_1|Skill_1_Level|Skill_2|Skill_2_Level|Skill_3|Skill_3_Level|Gender|P1_Set_Group|Is_Permanent|Description
Kadachi Helm|11|14|Low_Rank|14|Regular|Head|16|13|0|0|0|1|500|0|-3|0|3|0|0|0|0|0|0: --------|0|0: --------|0|74: Constitution|1|0: --------|0|0: --------|0|Unisex|14|False|Exquisitely light, this soft Tobi-Kadachi armor is so comfy you can barely feel it on.
High Metal Helm|12|15|Low_Rank|24|Regular|Head|18|25|0|0|0|2|1500|0|-1|3|-2|0|0|0|0|0|0: --------|0|0: --------|0|26: Ice Resistance|1|0: --------|0|0: --------|0|Unisex|25|False|Armor made from a generous portion of ore. Don't worry, it breathes surprisingly well.
Hornetaur Helm|13|19|Low_Rank|17|Regular|Head|18|17|0|0|0|2|1500|-1|-1|0|0|2|0|0|0|0|0: --------|0|0: --------|0|14: Dungmaster|1|0: --------|0|0: --------|0|Unisex|18|False|Armor plated in hard Hornetaur parts so lustrous you'll swear it's polished metal.
Shamos Goggles|14|18|Low_Rank|161|Regular|Head|22|58|0|0|0|2|1500|2|2|-3|0|0|0|0|0|0|0: --------|0|0: --------|0|119: Detector|1|0: --------|0|0: --------|0|Unisex|168|False|These Shamos goggles have under- gone a special process to allow the wearer to see in the dark.
Anja Helm|15|20|Low_Rank|3|Regular|Head|20|20|0|0|0|2|1500|3|-3|-1|-1|0|0|0|0|0|125: Anjanath Power|1|0: --------|0|30: Fire Attack|1|0: --------|0|0: --------|0|Unisex|3|False|Modeled after an unknown tribe's hunting garb, the Anja armor's design is a symbol of bravery.
Rathian Helm|16|21|Low_Rank|20|Regular|Head|22|21|0|0|0|2|1500|2|0|0|-2|-3|0|0|0|0|0: --------|0|0: --------|0|21: Health Boost|1|0: --------|0|0: --------|0|Unisex|21|False|Replete with queenly refinement, grace, and might, this sleek Rathian armor has it all.
Tzitzi Headgear|17|22|Low_Rank|22|Regular|Head|18|23|0|0|0|2|1500|0|0|-2|-3|0|0|0|0|0|0: --------|0|0: --------|0|112: Blindsider|1|0: --------|0|0: --------|0|Unisex|23|False|By using a portion of the head as-is, this Tzitzi-Ya-Ku armor also serves as a fine trophy.
Lumu Hat|18|23|Low_Rank|23|Regular|Head|20|24|0|0|0|2|1500|-3|2|1|0|0|0|0|0|0|0: --------|0|0: --------|0|76: Stamina Surge|1|0: --------|0|0: --------|0|Unisex|24|False|This Paolumu armor offers a perfect, bespoke fit to any body shape, doesn't even feel like you're wearing armor.
Girros Mask|19|24|Low_Rank|21|Regular|Head|20|22|0|0|0|2|1500|0|-3|0|2|1|0|0|0|0|0: --------|0|0: --------|0|68: Horn Maestro|1|0: --------|0|0: --------|0|Unisex|22|False|In addition to protecting the body, this Great Girros armor aids a hunter's respiration.
Baan Helm|20|25|Low_Rank|27|Regular|Head|24|28|0|0|0|2|1500|0|2|-1|0|-2|0|0|0|0|0: --------|0|0: --------|0|57: Slugger|1|0: --------|0|0: --------|0|Unisex|28|False|A mix of heavy plating and bone grant this Radobaan armor almost impenetrable defense.
King Beetle Vertex|21|16|Low_Rank|19|Regular|Head|22|19|0|0|0|2|1500|-1|-1|0|2|2|0|0|0|0|0: --------|0|0: --------|0|78: Evade Window|1|0: --------|0|0: --------|0|Male|20|False|Armor to fulfill the ambitions of those who dreamed of wielding the power to rule over bugdom.
Butterfly Vertex|22|17|Low_Rank|164|Regular|Head|22|19|0|0|0|2|1500|-1|-1|0|2|2|0|0|0|0|0: --------|0|0: --------|0|78: Evade Window|1|0: --------|0|0: --------|0|Female|169|False|Dazzling armor made from insect parts. Its light weight and color are proof of one's class.
Ingot Helm|23|26|Low_Rank|30|Regular|Head|28|31|0|0|0|3|3000|-2|0|-1|3|0|0|0|0|0|0: --------|0|0: --------|0|33: Thunder Attack|1|0: --------|0|0: --------|0|Unisex|31|False|Armor crafted from brilliant gold ore. Its color and design are both highly pleasing.
Legiana Helm|24|29|Low_Rank|26|Regular|Head|30|27|0|0|0|3|3000|-1|2|3|-3|0|0|0|0|0|151: Legiana Blessing|1|0: --------|0|97: Divine Blessing|1|0: --------|0|0: --------|0|Unisex|27|False|Armor worn by proven masters of the wind. Made of Legiana parts, it glistens a piercing blue.
Odogaron Helm|25|30|Low_Rank|28|Regular|Head|30|29|0|0|0|3|3000|2|2|-3|-2|0|0|0|0|0|153: Odogaron Power|1|0: --------|0|7: Bleeding Resistance|1|0: --------|0|0: --------|0|Unisex|29|False|None who lay eyes upon this Odogaron armor are seen again, as it erodes the wearer's sanity.
Rathalos Helm|26|31|Low_Rank|32|Regular|Head|30|33|0|0|0|3|3000|3|1|1|-2|-3|0|0|0|0|128: Rathalos Power|1|0: --------|0|19: Attack Boost|1|0: --------|0|0: --------|0|Unisex|33|False|Crafted from parts carved from the King of the Skies, this crimson armor boasts overwhelming defense.
Diablos Helm|27|32|Low_Rank|33|Regular|Head|32|34|0|0|0|3|3000|3|-2|-3|0|2|0|0|0|0|129: Diablos Power|1|0: --------|0|55: Critical Draw|1|0: --------|0|0: --------|0|Unisex|34|False|The bold horns on this Diablos armor are a challenge to any who doubt your rule over the sands.
Kirin Horn|28|33|Low_Rank|34|Regular|Head|34|35|0|0|0|3|3000|-3|-2|-2|4|2|0|0|0|0|130: Kirin Blessing|1|0: --------|0|73: Marathon Runner|1|0: --------|0|0: --------|0|Unisex|35|False|Don this gorgeous Kirin armor and canter through the wilderness living out your wildest equine fantasies.
Death Stench Brain|29|27|Low_Rank|25|Regular|Head|32|26|0|0|0|3|3000|3|2|3|-2|-4|0|0|0|0|0: --------|0|0: --------|0|67: Resuscitate|1|0: --------|0|0: --------|0|Unisex|26|False|Accursed armor, said to bring death. The wearer hears echoes of their victim's death throes.
Brigade Lobos|30|28|Low_Rank|35|Regular|Head|28|36|0|0|0|3|3000|1|0|0|2|2|0|0|0|0|0: --------|0|0: --------|0|23: Recovery Speed|1|0: --------|0|0: --------|0|Unisex|36|False|Guild-exclusive armor for Arena champions. A particularly refined headpiece.
Pulverizing Feather|31|0|Low_Rank|36|Regular|Head|32|37|0|0|0|3|3000|0|0|0|0|0|0|0|0|0|0: --------|0|0: --------|0|88: Bombardier|3|0: --------|0|0: --------|0|Unisex|37|False|An earring left by the man they call the Demolitionist. He razed everything to save what matters.
Leather Headgear α|32|34|Alpha|37|Regular|Head|32|1|0|0|0|4|4000|2|0|0|0|0|0|0|0|0|0: --------|0|0: --------|0|77: Hunger Resistance|2|0: --------|0|0: --------|0|Unisex|39|False|Armor made of treated monster hide. A safe choice, designed for multi-purpose use.
Leather Headgear β|33|35|Beta_or_Gamma|38|Regular|Head|32|1|0|0|0|4|4000|2|0|0|0|0|1|1|0|0|0: --------|0|0: --------|0|77: Hunger Resistance|1|0: --------|0|0: --------|0|Unisex|40|False|Armor made of treated monster hide. A safe choice, designed for multi-purpose use.
Chainmail Headgear α|34|36|Alpha|39|Regular|Head|32|14|0|0|0|4|4000|0|2|0|0|0|0|0|0|0|0: --------|0|0: --------|0|94: Master Gatherer|1|80: Guard|1|0: --------|0|Unisex|147|False|Armor made of woven chain links. Its familiar design inspires trust in hunters who wear it.
Chainmail Headgear β|35|37|Beta_or_Gamma|40|Regular|Head|32|14|0|0|0|4|4000|0|2|0|0|0|1|1|0|0|0: --------|0|0: --------|0|94: Master Gatherer|1|0: --------|0|0: --------|0|Unisex|148|False|Armor made of woven chain links. Its familiar design inspires trust in hunters who wear it.
Hunter's Headgear α|36|38|Alpha|41|Regular|Head|36|2|0|0|0|4|4000|2|2|0|0|0|0|0|0|0|0: --------|0|0: --------|0|105: Scoutfly Range Up|1|114: Scholar|1|0: --------|0|Unisex|41|False|Armor widely used among hunters. Its sturdy build gives peace of mind.
Hunter's Headgear β|37|39|Beta_or_Gamma|42|Regular|Head|36|2|10|0|0|4|4000|2|2|0|0|0|1|1|0|0|0: --------|0|0: --------|0|105: Scoutfly Range Up|1|0: --------|0|0: --------|0|Unisex|42|False|Armor widely used among hunters. Its sturdy build gives peace of mind.
Bone Helm α|38|40|Alpha|43|Regular|Head|36|3|0|0|0|4|4000|2|0|0|2|2|0|0|0|0|0: --------|0|0: --------|0|21: Health Boost|1|115: Entomologist|1|0: --------|0|Unisex|43|False|Traditional armor crafted from monster bones. Believe it or not, it offers pretty good insulation.
Bone Helm β|39|41|Beta_or_Gamma|44|Regular|Head|36|3|0|0|0|4|4000|2|0|0|2|2|1|1|0|0|0: --------|0|0: --------|0|21: Health Boost|1|0: --------|0|0: --------|0|Unisex|44|False|Traditional armor crafted from monster bones. Believe it or not, it offers pretty good insulation.
Alloy Helm α|40|42|Alpha|45|Regular|Head|36|4|0|0|0|4|4000|-2|0|-2|-2|0|0|0|0|0|0: --------|0|0: --------|0|12: Windproof|1|20: Defense Boost|1|0: --------|0|Unisex|45|False|Armor made of fine machalite ore. What it lacks in charm it more than makes up in defense.
Alloy Helm β|41|43|Beta_or_Gamma|46|Regular|Head|36|4|0|0|0|4|4000|-2|0|-2|-2|0|1|1|0|0|0: --------|0|0: --------|0|12: Windproof|1|0: --------|0|0: --------|0|Unisex|46|False|Armor made of fine machalite ore. What it lacks in charm it more than makes up in defense.
Vespoid Helm α|42|48|Alpha|51|Regular|Head|38|7|0|0|0|4|4000|-2|1|1|1|2|0|0|0|0|0: --------|0|0: --------|0|81: Quick Sheath|1|36: Paralysis Attack|1|0: --------|0|Unisex|51|False|Armor made from hard Vespoid carapace. Though weak to fire element, it offers solid defense.
Vespoid Helm β|43|49|Beta_or_Gamma|52|Regular|Head|38|7|0|0|0|4|4000|-2|1|1|1|2|1|1|0|0|0: --------|0|0: --------|0|81: Quick Sheath|1|0: --------|0|0: --------|0|Unisex|52|False|Armor made from hard Vespoid carapace. Though weak to fire element, it offers solid defense.
Hornetaur Helm α|44|50|Alpha|57|Regular|Head|38|17|0|0|0|4|4000|-1|-1|0|0|2|0|0|0|0|0: --------|0|0: --------|0|14: Dungmaster|1|34: Dragon Attack|1|0: --------|0|Unisex|57|False|Armor plated in hard Hornetaur parts so lustrous you'll swear it's polished metal.
Hornetaur Helm β|45|51|Beta_or_Gamma|58|Regular|Head|38|17|0|0|0|4|4000|-1|-1|0|0|2|1|1|0|0|0: --------|0|0: --------|0|14: Dungmaster|1|0: --------|0|0: --------|0|Unisex|58|False|Armor plated in hard Hornetaur parts so lustrous you'll swear it's polished metal.
Shamos Goggles α|46|57|Alpha|162|Regular|Head|40|58|0|0|0|4|4000|2|2|-3|0|0|0|0|0|0|0: --------|0|0: --------|0|119: Detector|1|100: Geologist|1|0: --------|0|Unisex|174|False|These Shamos goggles have under- gone a special process to allow the wearer to see in the dark.
Shamos Goggles β|47|58|Beta_or_Gamma|163|Regular|Head|40|58|0|0|0|4|4000|2|2|-3|0|0|1|1|0|0|0: --------|0|0: --------|0|119: Detector|1|0: --------|0|0: --------|0|Unisex|175|False|These Shamos goggles have under- gone a special process to allow the wearer to see in the dark.
Jagras Helm α|48|59|Alpha|61|Regular|Head|40|8|0|0|0|4|4000|-2|2|-1|-1|1|0|0|0|0|0: --------|0|0: --------|0|85: Speed Eating|2|0: --------|0|0: --------|0|Unisex|61|False|Diligently polished Great Jagras scale marries steel in beautiful harmony in this armor.
Jagras Helm β|49|60|Beta_or_Gamma|62|Regular|Head|40|8|0|0|0|4|4000|-2|2|-1|-1|1|1|1|0|0|0: --------|0|0: --------|0|85: Speed Eating|1|0: --------|0|0: --------|0|Unisex|62|False|Diligently polished Great Jagras scale marries steel in beautiful harmony in this armor.
Kulu Headpiece α|50|61|Alpha|63|Regular|Head|40|9|0|0|0|4|4000|0|-3|1|0|0|0|0|0|0|0: --------|0|0: --------|0|24: Fire Resistance|1|50: Weakness Exploit|1|0: --------|0|Unisex|63|False|The elegant color and beautiful design of this Kulu-Ya-Ku armor make it perennially popular.
Kulu Headpiece β|51|62|Beta_or_Gamma|64|Regular|Head|40|9|0|0|0|4|4000|0|-3|1|0|0|2|1|1|0|0: --------|0|0: --------|0|24: Fire Resistance|1|0: --------|0|0: --------|0|Unisex|64|False|The elegant color and beautiful design of this Kulu-Ya-Ku armor make it perennially popular.
Pukei Hood α|52|67|Alpha|65|Regular|Head|42|10|0|0|0|4|4000|0|3|0|-3|1|0|0|0|0|0: --------|0|0: --------|0|108: Survival Expert|2|0: --------|0|0: --------|0|Unisex|65|False|Pukei-Pukei armor engineered to protect vital body parts with a very modest amount of materials.
Pukei Hood β|53|68|Beta_or_Gamma|66|Regular|Head|42|10|10|0|0|4|4000|0|3|0|-3|1|2|1|1|0|0: --------|0|0: --------|0|108: Survival Expert|1|0: --------|0|0: --------|0|Unisex|66|False|Pukei-Pukei armor engineered to protect vital body parts with a very modest amount of materials.
Barroth Helm α|54|69|Alpha|69|Regular|Head|42|12|0|0|0|4|4000|-3|-1|-1|3|0|0|0|0|0|0: --------|0|0: --------|0|80: Guard|2|0: --------|0|0: --------|0|Unisex|69|False|A wyvern could trample this armor made of Barroth shell and not leave a single crack.
Barroth Helm β|55|70|Beta_or_Gamma|70|Regular|Head|42|12|0|0|0|4|4000|-3|-1|-1|3|0|1|1|0|0|0: --------|0|0: --------|0|80: Guard|1|0: --------|0|0: --------|0|Unisex|70|False|A wyvern could trample this armor made of Barroth shell and not leave a single crack.
Jyura Helm α|56|73|Alpha|67|Regular|Head|44|11|0|0|0|4|6000|-1|2|0|-3|0|0|0|0|0|0: --------|0|0: --------|0|109: Aquatic/Polar Mobility|2|0: --------|0|0: --------|0|Unisex|67|False|A special process was used to treat the hard mud caked on this Jyuratodus armor in order to improve durability.
Jyura Helm β|57|74|Beta_or_Gamma|68|Regular|Head|44|11|0|0|0|4|6000|-1|2|0|-3|0|1|1|0|0|0: --------|0|0: --------|0|109: Aquatic/Polar Mobility|1|0: --------|0|0: --------|0|Unisex|68|False|A special process was used to treat the hard mud caked on this Jyuratodus armor in order to improve durability.
Kadachi Helm α|58|75|Alpha|71|Regular|Head|44|13|0|0|0|4|6000|0|-3|0|3|0|0|0|0|0|0: --------|0|0: --------|0|74: Constitution|2|0: --------|0|0: --------|0|Unisex|71|False|Exquisitely light, this soft Tobi-Kadachi armor is so comfy you can barely feel it on.
Kadachi Helm β|59|76|Beta_or_Gamma|72|Regular|Head|44|13|0|0|0|4|6000|0|-3|0|3|0|1|2|0|0|0: --------|0|0: --------|0|74: Constitution|1|0: --------|0|0: --------|0|Unisex|72|False|Exquisitely light, this soft Tobi-Kadachi armor is so comfy you can barely feel it on.
Anja Helm α|60|71|Alpha|93|Regular|Head|44|20|0|0|0|4|6000|3|-3|-1|-1|0|0|0|0|0|132: Anjanath Will|1|0: --------|0|30: Fire Attack|2|24: Fire Resistance|1|0: --------|0|Unisex|93|False|Modeled after an unknown tribe's hunting garb, the Anja armor's design is a symbol of bravery.
Anja Helm β|61|72|Beta_or_Gamma|94|Regular|Head|44|20|10|0|0|4|6000|3|-3|-1|-1|0|1|2|0|0|132: Anjanath Will|1|0: --------|0|30: Fire Attack|2|0: --------|0|0: --------|0|Unisex|94|False|Modeled after an unknown tribe's hunting garb, the Anja armor's design is a symbol of bravery.
Rathian Helm α|62|79|Alpha|73|Regular|Head|46|21|0|0|0|4|6000|2|0|0|-2|-3|0|0|0|0|0: --------|0|0: --------|0|21: Health Boost|2|35: Poison Attack|1|0: --------|0|Unisex|73|False|Replete with queenly refinement, grace, and might, this sleek Rathian armor has it all.
Rathian Helm β|63|80|Beta_or_Gamma|74|Regular|Head|46|21|10|0|0|4|6000|2|0|0|-2|-3|1|1|0|0|0: --------|0|0: --------|0|21: Health Boost|1|35: Poison Attack|1|0: --------|0|Unisex|74|False|Replete with queenly refinement, grace, and might, this sleek Rathian armor has it all.
Tzitzi Headgear α|64|63|Alpha|77|Regular|Head|40|23|0|0|0|4|6000|0|0|-2|-3|0|0|0|0|0|0: --------|0|0: --------|0|112: Blindsider|1|4: Stun Resistance|1|0: --------|0|Unisex|77|False|By using a portion of the head as-is, this Tzitzi-Ya-Ku armor also serves as a fine trophy.
Tzitzi Headgear β|65|64|Beta_or_Gamma|78|Regular|Head|40|23|0|0|0|4|6000|0|0|-2|-3|0|1|1|0|0|0: --------|0|0: --------|0|112: Blindsider|1|0: --------|0|0: --------|0|Unisex|78|False|By using a portion of the head as-is, this Tzitzi-Ya-Ku armor also serves as a fine trophy.
Lumu Hat α|66|77|Alpha|79|Regular|Head|44|24|0|0|0|4|6000|-3|2|1|0|0|0|0|0|0|0: --------|0|0: --------|0|76: Stamina Surge|2|0: --------|0|0: --------|0|Unisex|79|False|This Paolumu armor offers a perfect, bespoke fit to any body shape, doesn't even feel like you're wearing armor.
Lumu Hat β|67|78|Beta_or_Gamma|80|Regular|Head|44|24|0|0|0|4|6000|-3|2|1|0|0|1|2|0|0|0: --------|0|0: --------|0|76: Stamina Surge|1|0: --------|0|0: --------|0|Unisex|80|False|This Paolumu armor offers a perfect, bespoke fit to any body shape, doesn't even feel like you're wearing armor.
Girros Mask α|68|65|Alpha|75|Regular|Head|40|22|0|0|0|4|4000|0|-3|0|2|1|0|0|0|0|0: --------|0|0: --------|0|68: Horn Maestro|1|2: Paralysis Resistance|1|0: --------|0|Unisex|75|False|In addition to protecting the body, this Great Girros armor aids a hunter's respiration.
Girros Mask β|69|66|Beta_or_Gamma|76|Regular|Head|40|22|0|0|0|4|4000|0|-3|0|2|1|1|1|0|0|0: --------|0|0: --------|0|68: Horn Maestro|1|0: --------|0|0: --------|0|Unisex|76|False|In addition to protecting the body, this Great Girros armor aids a hunter's respiration.
Baan Helm α|70|83|Alpha|97|Regular|Head|46|28|0|0|0|5|6000|0|2|-1|0|-2|0|0|0|0|0: --------|0|0: --------|0|13: Tremor Resistance|2|0: --------|0|0: --------|0|Unisex|97|False|A mix of heavy plating and bone grant this Radobaan armor almost impenetrable defense.
Baan Helm β|71|84|Beta_or_Gamma|98|Regular|Head|46|28|10|0|0|5|6000|0|2|-1|0|-2|1|2|0|0|0: --------|0|0: --------|0|13: Tremor Resistance|1|0: --------|0|0: --------|0|Unisex|98|False|A mix of heavy plating and bone grant this Radobaan armor almost impenetrable defense.
High Metal Helm α|72|93|Alpha|89|Regular|Head|50|25|0|0|0|5|9000|0|-1|3|-2|0|0|0|0|0|0: --------|0|0: --------|0|26: Ice Resistance|2|11: Earplugs|1|0: --------|0|Unisex|89|False|Armor made from a generous portion of ore. Don't worry, it breathes surprisingly well.
High Metal Helm β|73|94|Beta_or_Gamma|90|Regular|Head|50|25|0|0|0|5|9000|0|-1|3|-2|0|1|2|0|0|0: --------|0|0: --------|0|26: Ice Resistance|2|0: --------|0|0: --------|0|Unisex|90|False|Armor made from a generous portion of ore. Don't worry, it breathes surprisingly well.
Ingot Helm α|74|95|Alpha|91|Regular|Head|50|31|0|0|0|5|9000|-2|0|-1|3|0|0|0|0|0|0: --------|0|0: --------|0|33: Thunder Attack|2|0: --------|0|0: --------|0|Unisex|91|False|Armor crafted from brilliant gold ore. Its color and design are both highly pleasing.
Ingot Helm β|75|96|Beta_or_Gamma|92|Regular|Head|50|31|0|0|0|5|9000|-2|0|-1|3|0|1|1|0|0|0: --------|0|0: --------|0|33: Thunder Attack|1|0: --------|0|0: --------|0|Unisex|92|False|Armor crafted from brilliant gold ore. Its color and design are both highly pleasing.
Gastodon Horn α|76|85|Alpha|53|Regular|Head|48|15|0|0|0|4|6000|3|0|0|0|0|0|0|0|0|0: --------|0|0: --------|0|104: Flinch Free|1|6: Blast Resistance|1|0: --------|0|Unisex|166|False|The thick, stiff Gastodon hair used in this armor was treated to maximize impact absorption.
Gastodon Horn β|77|86|Beta_or_Gamma|54|Regular|Head|48|15|0|0|0|4|6000|3|0|0|0|0|1|1|0|0|0: --------|0|0: --------|0|104: Flinch Free|1|0: --------|0|0: --------|0|Unisex|167|False|The thick, stiff Gastodon hair used in this armor was treated to maximize impact absorption.
Rath Heart Helm α|78|81|Alpha|87|Regular|Head|52|21|100|0|0|5|9000|3|0|0|-3|-4|0|0|0|0|131: Pink Rathian Mastery|1|0: --------|0|79: Evade Extender|1|35: Poison Attack|1|0: --------|0|Unisex|87|False|Rathian armor that exhibits such a regal presence that it leaves all who see it captivated and awed.
Rath Heart Helm β|79|82|Beta_or_Gamma|88|Regular|Head|52|21|110|0|0|5|9000|3|0|0|-3|-4|1|2|0|0|131: Pink Rathian Mastery|1|0: --------|0|79: Evade Extender|1|0: --------|0|0: --------|0|Unisex|88|False|Rathian armor that exhibits such a regal presence that it leaves all who see it captivated and awed.
Legiana Helm α|80|103|Alpha|95|Regular|Head|54|27|0|0|0|5|9000|-1|2|3|-3|0|0|0|0|0|152: Legiana Favor|1|0: --------|0|97: Divine Blessing|2|32: Ice Attack|1|0: --------|0|Unisex|95|False|Armor worn by proven masters of the wind. Made of Legiana parts, it glistens a piercing blue.
Legiana Helm β|81|104|Beta_or_Gamma|96|Regular|Head|54|27|10|0|0|5|9000|-1|2|3|-3|0|1|1|0|0|152: Legiana Favor|1|0: --------|0|97: Divine Blessing|2|0: --------|0|0: --------|0|Unisex|96|False|Armor worn by proven masters of the wind. Made of Legiana parts, it glistens a piercing blue.
Odogaron Helm α|82|105|Alpha|81|Regular|Head|54|29|0|0|0|5|9000|2|2|-3|-2|0|0|0|0|0|154: Odogaron Mastery|1|0: --------|0|7: Bleeding Resistance|2|48: Critical Eye|1|0: --------|0|Unisex|81|False|None who lay eyes upon this Odogaron armor are seen again, as it erodes the wearer's sanity.
Odogaron Helm β|83|106|Beta_or_Gamma|82|Regular|Head|54|29|10|0|0|5|9000|2|2|-3|-2|0|1|2|0|0|154: Odogaron Mastery|1|0: --------|0|7: Bleeding Resistance|2|0: --------|0|0: --------|0|Unisex|82|False|None who lay eyes upon this Odogaron armor are seen again, as it erodes the wearer's sanity.
Rathalos Helm α|84|107|Alpha|101|Regular|Head|54|33|0|0|0|5|9000|3|1|1|-2|-3|0|0|0|0|135: Rathalos Mastery|1|0: --------|0|19: Attack Boost|2|30: Fire Attack|1|0: --------|0|Unisex|101|False|Crafted from parts carved from the King of the Skies, this crimson armor boasts overwhelming defense.
Rathalos Helm β|85|108|Beta_or_Gamma|102|Regular|Head|54|33|10|0|0|5|9000|3|1|1|-2|-3|1|1|0|0|135: Rathalos Mastery|1|0: --------|0|19: Attack Boost|2|0: --------|0|0: --------|0|Unisex|102|False|Crafted from parts carved from the King of the Skies, this crimson armor boasts overwhelming defense.
Rath Soul Helm α|86|109|Alpha|111|Regular|Head|56|33|100|0|0|6|12000|3|2|-3|2|-4|0|0|0|0|135: Rathalos Mastery|1|0: --------|0|49: Critical Boost|1|124: Intimidator|2|0: --------|0|Unisex|111|False|Azure armor imbued with absolute power. Those who wear it are destined to make history.
Rath Soul Helm β|87|110|Beta_or_Gamma|112|Regular|Head|56|33|110|0|0|6|12000|3|2|-3|2|-4|2|1|1|0|135: Rathalos Mastery|1|0: --------|0|49: Critical Boost|1|0: --------|0|0: --------|0|Unisex|112|False|Azure armor imbued with absolute power. Those who wear it are destined to make history.
Diablos Helm α|88|111|Alpha|103|Regular|Head|54|34|0|0|0|5|9000|3|-2|-3|0|2|0|0|0|0|136: Diablos Mastery|1|0: --------|0|55: Critical Draw|2|64: Heroics|1|0: --------|0|Unisex|103|False|The bold horns on this Diablos armor are a challenge to any who doubt your rule over the sands.
Diablos Helm β|89|112|Beta_or_Gamma|104|Regular|Head|54|34|10|0|0|5|9000|3|-2|-3|0|2|1|2|0|0|136: Diablos Mastery|1|0: --------|0|55: Critical Draw|2|0: --------|0|0: --------|0|Unisex|104|False|The bold horns on this Diablos armor are a challenge to any who doubt your rule over the sands.
